0.649,0.347
0.623,0.37
0.597,0.389
0.572,0.402
0.549,0.412
0.527,0.417
0.506,0.42
0.487,0.419
0.47,0.417
0.454,0.414
0.439,0.409
0.425,0.404
0.413,0.399
0.402,0.393
0.392,0.388
0.383,0.382
0.374,0.376
0.367,0.371
0.36,0.366
0.353,0.361
0.347,0.356
0.342,0.351
0.337,0.347
0.332,0.343
0.328,0.339
0.324,0.335
0.321,0.332
0.317,0.328
0.315,0.327
0.314,0.325
0.311,0.322
0.308,0.319
0.306,0.317
0.303,0.317
0.301,0.312
0.299,0.309
0.297,0.307
0.292,0.301
0.289,0.297
0.285,0.293
0.282,0.29
